Implementation,Operations,Threads,Time(μs)
claude,1000,2,178
claude,1000,4,239
claude,1000,8,271
claude,1000,16,437
claude,10000,2,706
claude,10000,4,590
claude,10000,8,589
claude,10000,16,649
claude,100000,2,5248
claude,100000,4,4383
claude,100000,8,4447
claude,100000,16,4314
claude,1000000,2,46471
claude,1000000,4,37608
claude,1000000,8,40463
claude,1000000,16,41000
claude,10000000,2,437565
claude,10000000,4,369526
claude,10000000,8,391813
claude,10000000,16,390259
