threads,key_max,iters,time(ms),time_serial(ms)
1,100000,100000,391,3058
2,100000,100000,221,3053
4,100000,100000,125,3050
8,100000,100000,88,3061
12,100000,100000,81,3055
16,100000,100000,84,3050
20,100000,100000,99,3058
24,100000,100000,101,3049

# using a doubly shared lock with 100% balance operations
